# name	hex	description
Blue	005577	classic blue
Green	005f5f	muted teal green
Purple	5f5f87	soft terminal purple
Red	875f5f	muted red
Gold	af8700	warm gold
Gray	444444	neutral gray
Cyan	008787	brighter cyan
